Mallname,City,State,mall_coords,Total_Stores
Lakewood Promenade,Jacksonville,FL,"30.260461,-81.6422182",17.0
Lakewood Shopping Center (Lakewood Mall),Margate,FL,"26.2368014,-80.1989021",41.0
Lantana Plaza Shopping Center,Lake Worth,FL,"26.5906293,-80.1455269",28.0
Lantana Village Square,Lantana,FL,"26.5759451,-80.0543198",17.0
Largo Mall,Largo,FL,"27.8928357,-82.78347",68.0
Lauderhill Mall,Lauderhill,FL,"26.1429501,-80.2045287",79.0
Lee Vista Promande,Orlando,FL,"28.465478088515,-81.305408451837",25.0
Lighthouse Crossings,St. Petersburg,FL,"27.8095971,-82.75185",15.0
London Square,Miami,FL,"25.654491677642,-80.413376212689",56.0
Loop West,Kissimmee,FL,"28.343423908911,-81.427582807687",31.0
Mall at 163rd Street,Miami,FL,"25.926205910297,-80.171151293054",38.0
Mall of The Americas,Miami,FL,"25.7726793,-80.3229303",70.0
Mariner Square,Spring Hill,FL,"28.5306253,-82.5025597",0.0
Market Center & Davis Crossing,Naples,FL,"26.1508648,-81.6891191",0.0
Market on University,Plantation,FL,"26.1081167,-80.2512959",23.0
Market Street at Heath Brook,Ocala,FL,"29.1390302,-82.1922129",21.0
Marketplace at Altamonte Springs,Altamonte Springs,FL,"28.6599567,-81.3848354",10.0
Marketplace at Seminole Towne Center,Sanford,FL,"28.7996311,-81.3354095",49.0
Marketplace at the Outlets,Orlando,FL,"28.4670619,-81.4513766",23.0
Marketplace of Delray,Delray Beach,FL,"26.4480345,-80.1224662",12.0
Martin Square,Stuart,FL,"27.1680406,-80.2307211",6.0
Mayfair In The Grove,Miami,FL,"25.7284978,-80.2408057",21.0
Melbourne Shopping Center,Melbourne,FL,"28.086889,-80.621164",19.0
Melbourne Village Plaza,Melbourne,FL,"28.1264083,-80.6738285",25.0
Merchants Crossing,Englewood,FL,"26.9364404,-82.3394754",19.0
Merchants Walk,Lakeland,FL,"27.9984725,-81.9595937",27.0
Metropica,Sunrise,FL,"26.1476322,-80.3285054",0.0
Miami Gardens,Hialeah,FL,"25.9398052,-80.2959292",13.0
Midpoint Center,Cape Coral,FL,"26.6037472,-81.9743376",15.0
Midway Plaza,Tamarac,FL,"26.196619536166,-80.253878930164",34.0
Millenia Plaza,Orlando,FL,"28.495374678093,-81.430258680179",10.0
Miller Square Shopping Center,Miami,FL,"25.713072779927,-80.41716659577",52.0
Miracle Marketplace,Miami,FL,"25.750451,-80.2497308",30.0
Miramar Square,Miramar Beach,FL,"25.977409811713,-80.309461229114",18.0
Miramar Town Center,Miramar Beach,FL,"25.9869531,-80.3010667",23.0
Mission Bay Plaza,Boca Raton,FL,"26.3700995,-80.2052463",41.0
Mission Bell Shopping Center,Tampa,FL,"28.0803253,-82.5066532",16.0
Mitchell 54 West,Trinity,FL,"28.202628034388,-82.66473214418",23.0
Naples Plaza,Naples,FL,"26.1711855,-81.80085",20.0
Nasa Plaza,Melbourne,FL,"28.094353932116,-80.620539270361",15.0
Nature Coast Commons,Spring Hill,FL,"28.454321933873,-82.632860726736",25.0
Newberry Square,Gainesville,FL,"29.663161794647,-82.423457139951",15.0
North Bay Shopping Center,Tampa,FL,"28.034805,-82.6443831",7.0
North Pointe Plaza,Tampa,FL,"28.0870064,-82.5026631",17.0
North River Village,Ellenton,FL,"27.5316878,-82.5005188",17.0
Northdale Promenade,Tampa,FL,"28.0958235,-82.5033654",27.0
Northgate Shopping Center,DeLand,FL,"29.0564439,-81.301904",11.0
Northgate Shopping Center - Tampa,Tampa,FL,"28.0320953,-82.4590813",6.0
Northlake Commons,Palm Beach Gardens,FL,"26.806807,-80.0966337",28.0
Northpoint Shopping Center,Cape Coral,FL,"26.671786,-81.934732",8.0
Northridge Shopping Center,Oakland Park,FL,"26.1897477,-80.1351821",38.0
Northside Plaza,Miami,FL,"25.848068794051,-80.243214826025",17.0
Northwoods Center,Wesley Chapel,FL,"28.174699,-82.355021",0.0
Oakleaf Town Center,Jacksonville,FL,"30.1994099,-81.825111",58.0
Oakwood Square,Boynton Beach,FL,"26.530877,-80.0900403",32.0
Ocala West,Ocala,FL,"29.1681672,-82.1636817",8.0
Ocean Walk Shoppes,Daytona Beach,FL,"29.2310721,-81.0097661",12.0
Old St. Augustine Plaza,Jacksonville,FL,"30.1716747,-81.6021786",11.0
ONE Daytona,Daytona Beach,FL,"29.1928815,-81.070568",25.0
Orange Grove Shopping Center,Lake Wales,FL,"27.892796835656,-81.563035730194",14.0
Orlando Farmers Market,Orlando,FL,"28.5422966,-81.3699021",0.0
Orlando Outlet Marketplace,Orlando,FL,"28.4670829,-81.4513287",23.0
Orlando Premium Outlets-Vineland,Orlando,FL,"28.386477,-81.4929875",160.0
Ormond Towne Square,Ormond Beach,FL,"29.258045,-81.109384",25.0
Oviedo Park Crossing,Oviedo,FL,"28.6541406,-81.2374635",12.0
Pablo Creek Plaza,Jacksonville,FL,"30.2859675,-81.4549473",28.0
Page Field Commons,Fort Myers,FL,"26.5877169,-81.8696431",21.0
Palafox Square,Pensacola,FL,"30.527796,-87.2752687",9.0
Palm Bay Center,Palm Bay,FL,"28.032829,-80.62103",13.0
Palm Bay West,Palm Bay,FL,"27.9959048,-80.673632",16.0
Palm Coast Landing,Palm Coast,FL,"29.4775906,-81.2163391",27.0
Palm Coast Landing at Town Center,Palm Coast,FL,"29.476640469135,-81.214316630103",12.0
Palm Springs Mile,Hialeah,FL,"25.8672041,-80.3041761",116.0
Palm Springs Plaza,Lake Worth,FL,"26.625235449027,-80.089684205032",43.0
Palmer Crossing,Sarasota,FL,"27.267018,-82.4635799",27.0
Palmetto Park Square I & II,Boca Raton,FL,"26.3531555,-80.111552",34.0
Palms Of Carrollwood,Tampa,FL,"28.0625422,-82.5031198",14.0
Panama City Square,Panama City,FL,"30.188403535627,-85.66928120318",29.0
Paradise Key at Kelly Plantation,Destin,FL,"30.3909343,-86.4301874",21.0
Park Shore Shopping Center,Naples,FL,"26.199226925954,-81.801525337296",23.0
Parkway Shops,Jacksonville,FL,"30.4825101,-81.6402215",15.0
Parkwood Plaza,Orlando,FL,"28.5541143,-81.4157496",7.0
Pasco Square,New Port Richey,FL,"28.2184823,-82.6957182",19.0
Pembroke Commons,Pembroke Pines,FL,"26.0126239,-80.25033",36.0
Pembroke Crossing,Pembroke Pines,FL,"26.0087475,-80.3075305",23.0
Pembroke Place,Pembroke Pines,FL,"26.0087432,-80.2802514",23.0
Pensacola Square,Pensacola,FL,"30.4883936,-87.2252454",14.0
Piedmont Plaza,Apopka,FL,"28.6719151,-81.465983",7.0
Pier Park North,Panama City,FL,"30.223373,-85.8667968",44.0
Pine Hills Marketplace,Orlando,FL,"28.5529431,-81.4513088",14.0
Pine Island,Davie,FL,"26.102582,-80.2663307",38.0
Pine Island Crossing,Cape Coral,FL,"26.6705106,-81.9395772",13.0
Pine Island Marketplace,Cape Coral,FL,"26.6496764,-81.9852271",10.0
Pine Plaza,Sunrise,FL,"26.1761521,-80.2681128",31.0
Pine Ridge Crossing,Naples,FL,"26.2110768,-81.7702457",22.0
Pineapple Commons,Stuart,FL,"27.2350288,-80.2665115",22.0
Pinewood Square,Lake Worth,FL,"26.589135358399,-80.145790701575",28.0
Plantation Crossing,Middleburg,FL,"30.1058358,-81.8298058",9.0
Plantation Marketplace,Plantation,FL,"26.122437,-80.2429965",23.0
Plaza at Brandon Town Center,Brandon,FL,"27.9363231,-82.323624",18.0
Plaza at Davie,Davie,FL,"26.1096653,-80.3018435",35.0
Plaza at Delray Shopping Center,Delray Beach,FL,"26.4332762,-80.0714214",16.0
Plaza at Island Pass,Fort Myers,FL,"26.5097001,-81.9451145",12.0
Plaza del Sol Mall,Kissimmee,FL,"28.3069805,-81.4428832",65.0
Plaza Venezia,Orlando,FL,"28.4495132,-81.4884878",22.0
Point Plaza Commons,Hudson,FL,"28.33349,-82.701708",10.0
Point Royale Shopping Center,Miami,FL,"25.5896945,-80.3586125",22.0
Pompano Marketplace,Pompano Beach,FL,"26.2161085,-80.1056226",23.0
Ponce de Leon Mall,St. Augustine,FL,"29.860651,-81.324942",7.0
Port St. Lucie Towne Center,Port St Lucie,FL,"27.295487,-80.3024763",12.0
Posner Park Shopping Mall,Davenport,FL,"28.2273081,-81.6453755",32.0
Promenade At Tuskawilla,Winter Springs,FL,"28.6460481,-81.2651655",29.0
Promenade Shopping Plaza,Palm Beach Gardens,FL,"26.8210188,-80.0835247",32.0
Promenade Shops,Aventura,FL,"25.964941710892,-80.144572263229",17.0
Promenades Mall,Port Charlotte,FL,"26.984411,-82.0988805",49.0
Regency Park Shopping Center,Jacksonville,FL,"30.3176514,-81.5538031",21.0
Regency Plaza,Jacksonville,FL,"30.3202263,-81.5446033",12.0
Regency Square,Brandon,FL,"27.941304816456,-82.322959814017",44.0
Renaissance Centre,Altamonte Springs,FL,"28.6640613,-81.3813017",22.0
Renningers Mount Dora,Mount Dora,FL,"28.8047395,-81.6232449",193.0
Rialto,Orlando,FL,"28.4510239,-81.4798318",18.0
River Bridge Centre,Greenacres,FL,"26.649248,-80.1482451",26.0
River City Marketplace,Jacksonville,FL,"30.4725384,-81.6450086",13.0
River Club Plaza,Bradenton,FL,"27.4378502,-82.455231",19.0
River Landing,Miami,FL,"25.7854398,-80.2187757",0.0
Riverplace Shopping Center,Jacksonville,FL,"30.1735041,-81.6267407",30.0
Rolling Acres Plaza,Lady Lake,FL,"28.9343857,-81.9383751",17.0
Roosevelt Square,Jacksonville,FL,"30.2799746,-81.7188044",18.0
Royal Eagle Plaza,Coral Springs,FL,"26.2860797,-80.2460282",33.0
Sabal Palm Plaza,Fort Pierce,FL,"27.4222273,-80.3265447",30.0
Sam's Club Shopping Center,Panama City,FL,"30.1879899,-85.6882192",3.0
Sand Lake Corners (North and South),Orlando,FL,"28.4471932,-81.4254567",0.0
Santa Rosa Commons,Pace,FL,"30.6009032,-87.1257953",15.0
Sarasota Pavilion,Sarasota,FL,"27.261271,-82.519374",25.0
Sawgrass Square,Sunrise,FL,"26.1440856,-80.3155515",22.0
Sawgrass Village Shopping Cente,Ponte Vedra Beach,FL,"30.2049505,-81.3831692",32.0
Saxon Crossing,Orange City,FL,"28.914065,-81.2915079",17.0
Searstown Mall,Titusville,FL,"28.575374,-80.8019567",12.0
Seminole Centre,Sanford,FL,"28.7615112,-81.2827261",29.0
Seminole City Center,Seminole,FL,"27.843112636836,-82.792724320099",24.0
Shadowwood Square,Boca Raton,FL,"26.3692301,-80.2007361",30.0
Sheridan Plaza,Hollywood,FL,"26.033773539627,-80.19693539682",57.0
Shopper's Haven Shopping Center,Pompano Beach,FL,"26.2750592,-80.1001502",13.0
Shoppes at Amelia Concourse,Yulee,FL,"30.6289416,-81.5486124",23.0
Shoppes At Lake Andrew,Melbourne,FL,"28.2304512,-80.7250365",24.0
Shoppes at Palm Coast,West Palm Beach,FL,"26.6468363,-80.0579404",19.0
Shoppes at Paradise Isle,Destin,FL,"30.388065116381,-86.423827798889",17.0
Shoppes at St. Lucie West,Port St Lucie,FL,"27.3132122,-80.3972167",15.0
Shoppes at University Center,Sarasota,FL,"27.3914243,-82.4535269",40.0
Shoppes of Cypress Landing,Orlando,FL,"28.4835522,-81.4565564",10.0
Shoppes of Lake Mary,Lake Mary,FL,"28.7560662,-81.3485188",21.0
Shoppes of Lakeland,Lakeland,FL,"28.0935666,-81.9731271",23.0
Shoppes of Oakbrook,Palm Beach Gardens,FL,"26.846028476124,-80.059694602377",25.0
Shops at Merrick Park,Coral Gables,FL,"25.7312959,-80.2600717",99.0
Shops at Skylake,North Miami Beach,FL,"25.944829,-80.166567",41.0
Skyview Plaza Florida,Orlando,FL,"28.453163131472,-81.398595",29.0
SoDo Shopping Center,Orlando,FL,"28.515664,-81.378317",23.0
SoLe Mia,Miami,FL,"25.9144594,-80.1567913",0.0
South Beach Regional,Jacksonville,FL,"30.257024,-81.3904941",36.0
South Ortega Marketplace,Jacksonville,FL,"30.2355134,-81.6945107",10.0
South Plaza,Fort Myers,FL,"26.5940655,-81.8744502",18.0
Southchase Plaza,Orlando,FL,"28.604689247355,-81.4213266",13.0
Southchase Village,Orlando,FL,"28.3855607,-81.4043167",25.0
Southgate Center,New Port Richey,FL,"28.234311001156,-82.72950711377",29.0
Southside Square Shopping Center,Jacksonville,FL,"30.193993721323,-81.548897060049",7.0
Sparkman Wharf (Channelside Bay Plaza),Tampa,FL,"27.942847,-82.447316",22.0
Springs Plaza,Bonita Springs,FL,"26.3285507,-81.8039136",14.0
Square One Plaza,Jensen Beach,FL,"27.24828436728,-80.271478924854",20.0
Stuart Centre,Stuart,FL,"27.1724778,-80.2322495",32.0
Sun Plaza,Fort Walton Beach,FL,"30.4264549,-86.644751",18.0
Suncoast Crossing,Spring Hill,FL,"28.4791298,-82.47647",5.0
Suncoast Crossing,Odessa,FL,"28.1880131,-82.5457213",10.0
Sundial,St. Petersburg,FL,"27.7739381,-82.6344505",20.0
Sunset Point 19,Clearwater,FL,"27.9897604,-82.7301703",17.0
Sunshine Park Mall,South Daytona,FL,"29.164911,-81.0012711",16.0
Sunshine Plaza,Tamarac,FL,"26.188391812551,-80.205955163754",24.0
Tampa Plaza,Tampa,FL,"28.0240382,-82.4572424",9.0
Tampa Premium Outlets,Lutz,FL,"28.1907742,-82.3907295",112.0
Tanger Outlets Daytona beach,Daytona Beach,FL,"29.2133352,-81.0983166",73.0
Tarpon Bay Plaza,Naples,FL,"26.271432982593,-81.739913923032",24.0
Tarpon Square,Tarpon Springs,FL,"28.1477204,-82.7425681",15.0
Terrace at Florida Mall,Orlando,FL,"28.44946958948,-81.387893352115",18.0
Terrace at The Florida Mall,Orlando,FL,"28.449098,-81.388261",23.0
The Centre at University Parkway,Sarasota,FL,"27.392237,-82.5068588",24.0
The Crosslands,Kissimmee,FL,"28.341016553286,-81.409036120593",33.0
The Cypress,Tampa,FL,"28.169016,-82.356628",19.0
The Forum - Fort Myers,Fort Myers,FL,"26.614935,-81.800059",14.0
The Galleria at Fort Lauderdale,Fort Lauderdale,FL,"26.136849679498,-80.112851642853",107.0
The Grove,Windermere,FL,"28.4924219,-81.5103334",44.0
The Grove at Wesley Chapel,Wesley Chapel,FL,"28.2459408,-82.3514618",33.0
The Jacksonville Landing,Jacksonville,FL,"30.325053665352,-81.659785638623",35.0
The LOOP-Kissimmee,Kissimmee,FL,"28.344992814199,-81.42244350636",40.0
The Mall at University Town Center,Sarasota,FL,"27.384433,-82.4531881",144.0
The Markets at Town Center,Jacksonville,FL,"30.254134798322,-81.533268412967",42.0
The Mercato,Naples,FL,"26.252311134877,-81.797969573016",59.0
The Oaks,Port Richey,FL,"28.330102297011,-82.669071374066",17.0
The Palms at Town & Country,Miami,FL,"25.68925,-80.387411",66.0
The Pavilion at Port Orange,Port Orange,FL,"29.1113713,-81.0333341",45.0
The Piers,Port Richey,FL,"28.2962759,-82.7096273",4.0
The Place at Hollywood,Hollywood,FL,"26.009489387677,-80.206423288638",20.0
The Plaza at Citrus Park,Tampa,FL,"28.0653085,-82.5763412",18.0
The Plaza At Palmer Ranch,Sarasota,FL,"27.2269221,-82.4935492",19.0
"The Prado At Spring Creek,",Bonita Springs,FL,"26.3756218,-81.8070148",21.0
The Promenade at Coconut Creek,Coconut Creek,FL,"26.2848267,-80.1870656",52.0
The Royal Poinciana Plaza,Palm Beach,FL,"26.7172193,-80.0421842",14.0
The Shoppes at Jupiter,Jupiter,FL,"26.935894,-80.0796147",19.0
The Shoppes At Lake Andrew,Melbourne,FL,"28.2337483,-80.7214726",6.0
The Shoppes at New Tampa,Wesley Chapel,FL,"28.1845175,-82.3528602",29.0
The Shoppes at Park Place,Pinellas Park,FL,"27.8391391,-82.6837754",44.0
The Shoppes at Southern Palms,West Palm Beach,FL,"26.6815082,-80.1823234",9.0
The Shoppes at Vanderbilt,Naples,FL,"26.2454166,-81.7708483",74.0
The Shoppes of Boot Ranch,Palm Harbor,FL,"28.0608963,-82.70844",30.0
The Shops at Boca Center,Boca Raton,FL,"26.361765961946,-80.123003481326",27.0
The Shops at Pembroke Gardens,Pembroke Pines,FL,"26.002355,-80.3371792",59.0
The Shops at Pineda Ridge,Melbourne,FL,"28.1899553,-80.6725606",9.0
The Shops at Shelby Crossing,Sebring,FL,"27.4995182,-81.4885878",17.0
The Square at University Town Center,University Park,FL,"27.3907415,-82.4616956",18.0
The Village at Gulfstream Park,Hallandale Beach,FL,"25.9780317,-80.1393681",56.0
Titus Landing,Titusville,FL,"28.5854435,-80.8027006",10.0
Town & Country Plaza,Miami,FL,"25.625315,-80.41606",20.0
Town & Country Shopping Center,Palatka,FL,"29.6460431,-81.6732858",14.0
Town Center at St. Lucie West,Port St Lucie,FL,"27.312180263929,-80.405540793115",28.0
Town Center Aventura,Aventura,FL,"25.948034474551,-80.145793662427",34.0
Town N' Country Promenade,Tampa,FL,"28.027615,-82.560336",23.0
Tradewinds S.C.,Largo,FL,"25.11349335481,-80.420639708984",21.0
Tri-City Plaza,Clearwater,FL,"27.9173449,-82.7334154",22.0
Tyrone Gardens,St. Petersburg,FL,"27.782411817861,-82.713118924606",21.0
Universal Plaza,Lauderhill,FL,"26.1907451,-80.2526196",12.0
University Plaza,Tampa,FL,"28.0726447,-82.4267125",22.0
University Town Plaza,Pensacola,FL,"30.498817966399,-87.224094954902",30.0
Uptown Station,Fort Walton Beach,FL,"30.418666,-86.6070148",47.0
Venetian Isle Shopping Center,Lighthouse Point,FL,"26.2792927,-80.0967839",27.0
Village Center,Tampa,FL,"28.068138,-82.506628",32.0
Village Commons,Tallahassee,FL,"30.5117307,-84.2500589",29.0
Village Lakes Shopping Center,Land O Lakes,FL,"28.1909143,-82.460654",7.0
Village Oaks,Pensacola,FL,"30.488313,-87.223604",12.0
Village Shoppes,Royal Palm Beach,FL,"26.682622,-80.204616",29.0
Village Square,Coral Springs,FL,"26.2733521,-80.2508885",13.0
Vista Palms Shopping Center,Orlando,FL,"28.4650929,-81.2744706",17.0
Volusia Square,Daytona Beach,FL,"29.178295391706,-81.078305251312",20.0
VVia Port Florida,Leesburg,FL,"28.8258476,-81.7845609",53.0
Walmart Plaza,Fort Myers,FL,"26.6795268,-81.8985913",14.0
Walter's Crossing,Tampa,FL,"27.957090459918,-82.507602478424",0.0
Wekiva Riverwalk,Apopka,FL,"28.6740941,-81.4715832",13.0
Wellington Marketplace,West Palm Beach,FL,"26.663872982197,-80.267312241278",51.0
West Boca Square,Boca Raton,FL,"26.3552768,-80.2051127",24.0
West Colonial Oaks,Orlando,FL,"28.550527415329,-81.478968826706",24.0
West Volusia Towne Centre,Orange City,FL,"28.9187295,-81.2853107",19.0
Western Plaza shopping centre,West Palm Beach,FL,"26.679098,-80.200317",17.0
Westland Promenade,Hialeah,FL,"25.8553027,-80.3191462",30.0
Westland Terrace Plaza,Orlando,FL,"28.553069794209,-81.487093868262",12.0
Westward Shopping Center,West Palm Beach,FL,"26.7075198,-80.0908272",26.0
Westwinds of Boca,Boca Raton,FL,"26.366232982207,-80.19957520423",21.0
Winter Garden Village,Orlando,FL,"28.523098,-81.5837119",92.0
Woodlands Square,Oldsmar,FL,"28.0503922,-82.6980964",21.0
